,label
25142,1
30031,0
32075,0
97775,1
98792,0
41194,1
10999,0
83993,1
67624,0
54172,0
106020,0
75698,1
49721,1
59646,1
103640,0
50002,0
107679,0
8306,1
86004,0
99784,1
47330,0
55824,0
18102,1
111075,1
77623,0
95510,1
96877,0
59209,0
123056,1
70745,1
72371,0
2231,0
15727,1
32531,0
2783,1
27270,1
21393,0
71375,1
1043,1
117152,0
54953,0
42243,0
16528,1
5908,1
63260,0
64169,1
104476,1
50800,1
66762,0
8158,1
86112,1
90229,0
116424,0
38606,1
100663,1
77819,1
5843,1
75175,0
58145,1
112609,0
19209,0
58304,1
88346,0
15054,0
47797,0
106794,0
45454,1
25267,1
70905,1
44519,1
88966,1
76212,0
27607,1
44000,0
53049,1
93157,1
99817,1
18694,0
88735,1
123739,0
37782,0
20231,0
7876,1
54350,0
121704,0
88134,0
51252,0
77611,0
89623,1
7968,1
85771,0
24929,1
41218,1
11589,0
40304,0
9454,0
25915,0
84235,0
75590,0
61524,0
91146,0
57891,0
73614,0
47985,0
106494,1
67637,0
86215,0
13101,1
81760,0
121931,0
86523,0
31384,1
107676,0
58800,0
73413,1
16420,0
63347,1
11185,0
61452,0
100943,0
2502,0
77361,1
113299,1
29915,0
83262,0
114001,1
50853,1
47371,0
50880,1
44988,1
81957,0
14902,0
117969,1
60152,1
28644,0
108408,0
68810,1
77883,1
24571,0
107734,1
92755,0
12539,0
67441,1
48927,0
49406,1
83575,0
102135,0
58818,0
28311,0
24135,0
64561,0
2888,1
74132,1
19903,0
56405,1
62180,0
54602,0
4832,1
63340,1
94043,0
632,1
81705,0
112739,0
41766,0
37810,0
76735,1
78725,0
104337,1
119373,1
4083,1
43373,1
32677,0
3955,0
35277,1
56545,1
8311,1
17233,1
66276,0
804,1
101297,1
107002,0
9026,1
86560,0
123563,1
64150,1
80568,1
116139,0
104795,0
64794,0
55550,0
98118,0
8760,1
38040,0
62082,0
101631,0
106440,1
15742,1
413,1
17904,1
114905,0
24187,0
82451,1
97213,0
85118,1
85262,1
44065,0
92681,0
64769,0
75489,0
6075,1
39626,1
73377,1
10312,0
50308,0
74610,1
85633,0
78456,0
122556,1
2685,1
117014,1
61773,0
119267,1
62591,1
70876,0
34827,1
46734,1
79192,0
94738,0
25069,1
116096,1
41804,0
110447,0
61605,0
69765,0
41066,1
52194,1
34441,1
26846,1
110881,0
38443,1
91722,1
575,1
104395,1
68370,1
115293,0
96685,1
106652,1
52212,1
94160,0
33114,0
83069,0
43186,1
99454,1
19181,0
57567,0
6391,1
119613,1
95623,0
12800,0
57785,0
99617,0
76143,0
3885,0
58683,0
64330,0
18661,0
86270,0
8062,1
29161,0
33372,0
27784,1
72270,0
123886,0
76765,1
79963,1
11461,0
48832,0
98999,0
76841,1
41241,1
41570,0
28121,0
27439,1
75190,0
103994,1
27441,1
75358,0
29034,0
99425,0
81222,0
79089,0
7502,1
38124,0
42650,1
35420,1
23529,0
100096,0
53716,1
13073,1
83303,0
8776,1
59243,0
90386,0
52541,1
2989,1
114000,1
82505,1
14771,0
27346,1
109029,0
8995,1
3064,1
85491,0
70495,0
68303,1
18086,1
10855,0
1592,0
69398,0
56066,0
60371,1
108196,0
117334,0
60904,0
44529,1
53060,1
69292,0
43150,1
73286,1
30381,0
2683,1
60327,1
92926,0
72429,0
23619,0
4270,0
5799,1
91704,1
97731,1
98933,0
116297,0
106374,1
91759,1
30332,1
55933,0
31098,1
16886,1
4281,0
35373,1
64593,0
91622,1
53835,1
28367,0
77877,1
55945,0
29525,1
25207,1
86757,1
82659,1
21872,0
49825,1
70206,1
84788,1
100289,0
27327,1
111371,0
14956,0
96616,1
18571,1
29911,0
80718,1
73089,0
80305,1
119055,1
32695,0
102764,0
119378,0
104196,1
43667,0
100880,0
49550,1
105362,1
26785,1
34465,1
55783,0
102999,0
35248,1
28763,0
51856,0
110735,0
92342,0
81168,1
95407,1
47021,0
82779,1
3617,1
92980,1
89578,1
117462,0
110294,0
101729,1
108803,1
58575,0
115019,0
106207,0
40991,1
34776,1
9342,0
64130,1
112123,0
46356,1
41028,1
52193,1
117306,0
11051,0
48202,0
115155,0
67020,1
43593,0
5748,1
99114,1
98708,0
89329,1
55974,0
8309,1
91403,0
25529,0
95806,0
77552,0
82024,0
47314,0
14298,0
106546,1
3113,1
37390,0
88995,1
10888,1
57098,1
105242,0
80461,1
5614,1
103164,0
86783,1
88690,1
50436,1
61968,0
39118,0
55743,0
51416,0
11141,0
78903,0
79482,1
114336,1
108426,1
65758,1
81127,1
58246,1
35032,1
32011,0
109521,0
111134,1
107400,0
11779,0
14009,1
31968,0
9281,0
19203,0
32722,0
12742,0
38296,1
39521,1
96180,0
102941,0
41211,1
6404,1
26626,1
14408,0
46011,1
116499,1
2211,0
63915,1
62044,0
59391,1
81971,0
43903,0
64113,1
42893,1
75083,0
101772,1
97566,1
25272,1
7492,1
70980,1
41637,0
109681,1
114490,1
103629,0
110902,0
33918,1
80622,1
95338,1
120809,1
58003,1
79408,0
73774,0
38078,0
31091,1
59329,1
20014,0
111729,1
87269,1
4939,1
113404,0
32774,1
58109,1
2165,0
31918,0
8838,1
47161,0
41546,0
10118,0
15152,0
89648,1
14196,1
57983,0
68727,1
32561,0
81265,0
11588,0
89593,1
13075,1
64297,0
